Time,Username,Tweets
2022-06-12 14:46:13+00:00,Fakultas Teknik UNIPA Surabaya,b'.\nBerikut keseruan pada saat workshop OBE di Trawas dilakukan mahasiswa dan dosen antusias mengikuti acara tersebut\xe2\x80\xa6 https://t.co/WvD4Uncu4E'
2022-06-12 12:07:23+00:00,IPB,"b'#IPBPedia\nHai, #IPBnesian!\n\nYuk kita simak informasi terkait penyakit mulut dan kuku (PMK) pada hewan ternak seleng\xe2\x80\xa6 https://t.co/epYaEmPece'"
2022-06-12 10:57:54+00:00,Universitas Darma Agung,b'tetapi masyarakat juga bersama jajaran pemerintah desa dan kelurahan sangat mendukung gerakan Pencegahan Penyalahgu\xe2\x80\xa6 https://t.co/7J1yduX8qF'
2022-06-12 08:57:37+00:00,Universitas Negeri Padang,b'UNP Keluar sebagai Juara Umum POMProv Sumbar 2022 https://t.co/x2GoPRAgOq\n#universitasnegeripadang\n#humasunp\xe2\x80\xa6 https://t.co/0DyPYkaCXk'
2022-06-12 07:19:11+00:00,Mohamad Zainudin,b'Pentingnya komunikasi Dalam Kehidupan Kampus \xf0\x9f\x99\x84\n.\n.\n.\nInfo pendaftaran kuliah :\n081227576775\n.\n.\n.\n#kuliahkaryawan\xe2\x80\xa6 https://t.co/E1wfhdDJ6K'
2022-06-11 13:59:45+00:00,ara,b'(31) Tambahan part 4\n\nDari kemarin kami disuruh menunggu terkait yang belum mendapatkan username dan berkasnya hila\xe2\x80\xa6 https://t.co/YKCQ2MfUI9'
2022-06-11 09:27:20+00:00,Zahro_K,"b'@KampusMerdeka Selamat sore, Izin bertanya, saya kemarin daftar akun di web kampus merdeka dan tidak sengaja ke kli\xe2\x80\xa6 https://t.co/66zJEEaV78'"
2022-06-11 08:16:56+00:00,HMGP PNJ,b'[ PENDAFTARAN PROGRAM MAGANG DAN STUDI INDEPENDEN BERSERTIFIKAT ANGKATAN 3 ]\n\n\xe2\x9d\x97Untuk mahasiswa sarjana dan vokasi s\xe2\x80\xa6 https://t.co/BEakmqS4Cw'
2022-06-11 06:03:55+00:00,Universitas Negeri Padang,b'Perebutan medali emas Cabor Taekwondo All UNP Final antara Raffi dengan Daffido https://t.co/abhR6WhcPC\xe2\x80\xa6 https://t.co/0MdrzYv4QN'
2022-06-11 04:15:28+00:00,Universitas Negeri Padang,b'Karate sumbang 7 medali bagi kontingen UNP hari pertama Pomprov 2022\nhttps://t.co/QJOLEmOvCX\xe2\x80\xa6 https://t.co/zPB4UtFQWs'
2022-06-11 03:53:27+00:00,FEB Universitas Islam As-syafiiyah,b'Halo Sobat Minfeb!\n\nKelen team mana nih kalau mau makan nasi padang?\n\nBungkus\xe2\x9d\x8c\nMakan ditempat \xe2\x9c\x85\n\n#febuia #uiakeren\xe2\x80\xa6 https://t.co/SF1sbZ3ILE'
2022-06-11 02:45:59+00:00,IPB,b'#PrestasiIPB\nBersatu untuk mencapai satu tujuan dan sama mengharumkan namamu di dunia\n\nKami ucapkan selamat atas pr\xe2\x80\xa6 https://t.co/JoVu1ingsG'
2022-06-11 01:14:13+00:00,Institut Teknologi Kalimantan,b'Senam yang dilakukan tersebut dilakukan oleh seluruh tenaga kependidikan (tendik) Institut Teknologi Kalimantan. Se\xe2\x80\xa6 https://t.co/tpZjgViqxc'
2022-06-10 10:51:02+00:00,SAL,"b'Alhamdulillah, matur nuwun panitia program kampus Mengajar @KampusMerdekaRI @KampusMerdeka\n\nMaaf kalau sempat kecew\xe2\x80\xa6 https://t.co/Q3YmHQWiaQ'"
2022-06-10 09:09:54+00:00,Sekolah Tinggi Manajemen IMMI,"b'[STIMA IMMI KAMPUS MERDEKA]\n\nSelamat dan Sukses kepada Prof. Dr. Ir. Illah Sailah, M.S. atas dikukuhkannya sebagai\xe2\x80\xa6 https://t.co/QYaan6HjGp'"
2022-06-10 07:45:17+00:00,Perpustakaan UHW Perbanas Surabaya,b'Selamat &amp; Sukses \n#uhwperbanaslib #UniversitasHayamWurukPerbanas #kampuskeren #kampusmerdeka \n#Terkemuka #Unggul\xe2\x80\xa6 https://t.co/GHAFaYzy0A'
