,Time,Username,Tweets,STOP_REMOVAL,Label
0,2022-06-15 03:47:48+00:00,gtkdikmendiksus,halo sahabatdikbud saksikan silaturahmi merdeka belajar peningkatan akses layanan pendidikan yang berkeadilan httpstcodvnrd8lwvw,halo sahabatdikbud saksikan silaturahmi merdeka belajar peningkatan akses layanan pendidikan berkeadilan httpstcodvnrd8lwvw,neutral
1,2022-06-15 03:44:15+00:00,kb_ntb,sahabatbahasa dan sahabatdikbud yuk isi padanan istilah dalam konferensi video berikut isi kolom komentar httpstcoiw9qeujsly,sahabatbahasa sahabatdikbud yuk isi padanan istilah konferensi video isi kolom komentar httpstcoiw9qeujsly,neutral
2,2022-06-15 03:33:21+00:00,faiza_fahriz, litbangdikbud sahabatdikbud bskap kemendikbudristek sebagai koordinator apec hrdwg indonesia bekerja sama dengan kementerian pendi , litbangdikbud sahabatdikbud bskap kemendikbudristek koordinator apec hrdwg indonesia kementerian pendi ,neutral
3,2022-06-15 03:02:46+00:00,gbcdx_,akmb jatim siap terjun lapangan untuk membantu membangun indonesia yang lebih maju mari bersatu bergerak httpstcowohci087my,akmb jatim terjun lapangan membantu membangun indonesia maju mari bersatu bergerak httpstcowohci087my,neutral
4,2022-06-15 02:29:26+00:00,Kemdikbud_RI,sahabatdikbud soal seninmain kali ini dapat diselesaikan dgn melakukan urutan operasi matematika sehingga httpstcoyyfgpipi4f,sahabatdikbud seninmain kali diselesaikan dgn urutan operasi matematika httpstcoyyfgpipi4f,neutral
5,2022-06-15 01:32:05+00:00,litbangdikbud,sahabatdikbud bskap kemendikbudristek sebagai koordinator apec hrdwg indonesia bekerja sama dengan kementerian httpstcom2gax0gicg,sahabatdikbud bskap kemendikbudristek koordinator apec hrdwg indonesia kementerian httpstcom2gax0gicg,neutral
6,2022-06-15 01:14:31+00:00,FARAHAKURNIAWAN, kemdikbud_ri sahabatdikbud juni 1913 merupakan tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie atau din , kemdikbud_ri sahabatdikbud juni 1913 tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie din ,neutral
7,2022-06-14 23:55:50+00:00,BaliEdukasi,perjalanan keliling negeri menumbuhkan sdm unggul berbudi baliedukasi inspirasi negeri penyala peradaban httpstcolwdvl58hrv,perjalanan keliling negeri menumbuhkan sdm unggul berbudi baliedukasi inspirasi negeri penyala peradaban httpstcolwdvl58hrv,neutral
8,2022-06-14 17:19:27+00:00,RadioElshinta, kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan artinya tak ada yang , kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan ,neutral
9,2022-06-14 16:32:02+00:00,budayaseperadik,pelestarian dimaknai sebagai upaya dinamis untuk mempertahankan keberadaan cagar budaya dengan cara melindungi men httpstcogptqo8pgod,pelestarian dimaknai upaya dinamis mempertahankan keberadaan cagar budaya melindungi men httpstcogptqo8pgod,neutral
10,2022-06-14 16:11:06+00:00,Rika_Dwi2498, kemdikbud_ri seknas satuan pendidikan aman bencana kemendikbudristek dan unicefindonesia mengadakan webinar pemulihan layanan pendid , kemdikbud_ri seknas satuan pendidikan aman bencana kemendikbudristek unicefindonesia mengadakan webinar pemulihan layanan pendid ,neutral
11,2022-06-14 16:10:06+00:00,Rika_Dwi2498, kemdikbud_ri saatnya seninmain sahabatdikbud yuk bantu nisa menyelesaikan soal matematika berikut merdekabelajar seninmain , kemdikbud_ri seninmain sahabatdikbud yuk bantu nisa menyelesaikan matematika merdekabelajar seninmain ,neutral
12,2022-06-14 16:08:46+00:00,Rika_Dwi2498, kemdikbud_ri sahabatdikbud juni 1913 merupakan tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie atau din , kemdikbud_ri sahabatdikbud juni 1913 tonggak bersejarah berdirinya oudheidkundige dienst nederlandsch indie din ,neutral
13,2022-06-14 16:08:39+00:00,Rika_Dwi2498, kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan artinya tak ada yang , kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan ,neutral
14,2022-06-14 14:47:45+00:00,punsinyan, badanbahasa halo sahabatbahasa dan sahabatdikbud sekarang sudah tahu kan padanan istilah forehand dan backhand nah sekarang pert , badanbahasa halo sahabatbahasa sahabatdikbud padanan istilah forehand backhand pert ,neutral
15,2022-06-14 14:05:38+00:00,Posmaltobing, kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan artinya tak ada yang , kemdikbud_ri pernahkah sahabatdikbud mendengar peribahasa bali puntulpuntulan besi yen sangih dadi mangan ,neutral
